Sspe13 22°53’08”S 	46°01’43”W -22.88556 -46.02861
Sspe14 22°53’17”S 	46°19’03”W -22.88806 -46.31750
Sspe15 22°53’17”S 	46°19’03”W -22.88806 -46.31750
Sspe2 22°41’40”S 	44°37’57”W -22.69444 -44.63250
Sspe4 22°41’40”S 	44°37’57”W -22.69444 -44.63250
Sspe52 26°01’15”S 	48°59’44”W -26.02083 -48.99556
Sspe54 25°34’28”S 	50°59’01”W -25.57444 -50.98361
Sspe56 25°28’24”S 	49°38’20”W -25.47333 -49.63889
Sspe59 25°25’36”S 	49°42’59”W -25.42667 -49.71639
Sspe64 25°07’57”S	48°49’15”W -25.13250 -48.82083
Sspe9 22°22’34”S 	44°45’44”W -22.37611 -44.76222
Sspe43 28°48’24”S 	50°36’37”W -28.80667 -50.61028
Sspe68 26°26’06”S 	51°05’51”W -26.43500 -51.09750
Sspe69 26°43’06”S 	51°19’13”W -26.71833 -51.32028
Sspe71 26°41’45”S	50°30’33”W -26.69583 -50.50917
Sspe72 26°33’48”S 	50°53’49”W -26.56333 -50.89694
Sspe114 22°32’40”S 	45°12’12”W -22.54444 -45.20333
Sspe74 27°17’08”S 	50°17’59”W -27.28556 -50.29972
Sspe113 22°30’00”S 	45°07”56”W -22.50000 -45.13222
Sspe114 22°32’40”S 	45°12’12”W -22.54444 -45.20333
Sspe75 25°29’06”S 	49°39’08”W -25.48500 -49.65222
Sspe83 22°21’18”S 	42°33’49”W -22.35500 -42.56361
Sspe85 25°03’42”S 	49°00’45”W -25.06167 -49.01250
Sspe86 25°23’13”S 	49°33’10”W -25.38694 -49.55278
Sspe87 24°59’15”S 	48°47’27”W -24.98750 -48.79083
Sspe139 26°47’58”S 	48°55’56”W -26.79944 -48.93222
Sspe140 25°30’58”S 	49°40’12”W -25.51611 -49.67000
Sspe116 20°31’16”S 	42°04’17”W -20.52111 -42.07139
Sspe30 24°23’50”S 	48°38’10”W -24.39722 -48.63611
Sspe32 23°56’48”S 	47°24’06”W -23.94667 -47.40167
Sspe38 22°22’34”S 	44°45’44”W -22.37611 -44.76222
Sspe16 23°09’42”S 	44°51’43”W -23.16167 -44.86194
Sspe19 28°34’07”S 	49°39’17”W -28.56861 -49.65472
Sspe23 24°23’03”S 	49°10’22”W -24.38417 -49.17278
Sspe28 24°23’50”S 	48°38’10”W -24.39722 -48.63611
Sspe122 25°47’49”S 	51°00’28”W -25.79694 -51.00778
Sspe123 25°47’49”S	51°00’28”W -25.79694 -51.00778
Sspe101 25°07’02”S 	48°39’12”W -25.11722 -48.65333
Sspe103 25°20’21”S 	48°55’03”W -25.33917 -48.91750
Sspe106 25°53’27”S 	48°57’25”W -25.89083 -48.95694
Sspe107 24°35’17”S 	50°14’29”W -24.58806 -50.24139
Sspe109 25°17’23”S 	49°50’50”W -25.28972 -49.84722
Sspe110 25°27’25”S 	49°38’34”W -25.45694 -49.64278
Sspe95 29°30’18”S 	50°19’26”W -29.50500 -50.32389
