Sdiamantinensis127win5kb  Sdiamantinensis
Sspeluncae101 Lin5
Sspeluncae103 Lin5
Sspeluncae106 Lin7
Sspeluncae107 Lin5
Sspeluncae109 Lin5
Sspeluncae110 Lin5
Sspeluncae113 Lin3
Sspeluncae114 Lin3
Sspeluncae116 Lin3
Sspeluncae117 Lin1
Sspeluncae118 Lin1
Sspeluncae119 Lin1
Sspeluncae120 Lin1
Sspeluncae121 Lin1
Sspeluncae122 Lin67
Sspeluncae123 Lin67
Sspeluncae139 Lin7
Sspeluncae13  Lin3
Sspeluncae140 Lin5
Sspeluncae14  Lin3
Sspeluncae15  Lin3
Sspeluncae16  Lin4
Sspeluncae19  Lin7
Sspeluncae23  Lin5
Sspeluncae28  Lin5
Sspeluncae2 Lin4
Sspeluncae30  Lin5
Sspeluncae32  Lin5
Sspeluncae38  Lin3
Sspeluncae43  Lin7
Sspeluncae46  Lin1
Sspeluncae47  Lin1
Sspeluncae48  Lin1
Sspeluncae49  Lin1
Sspeluncae4 Lin4
Sspeluncae54  Lin67
Sspeluncae56  Lin5
Sspeluncae59  Lin5
Sspeluncae5 Lin4
Sspeluncae68  Lin7
Sspeluncae69  Lin7
Sspeluncae71  Lin7
Sspeluncae72  Lin7
Sspeluncae73  Lin3
Sspeluncae74  Lin7
Sspeluncae75  Lin5
Sspeluncae83  Lin2
Sspeluncae85  Lin5
Sspeluncae86  Lin5
Sspeluncae87  Lin5
Sspeluncae95  Lin7
Sspeluncae9 Lin3
